st_forcerhr,,89860,,,89860
postgis_noop,,89860,,,89860
st_normalize,{geom},89860,,,89860
st_zmflag,,21,,,21
st_ndims,,21,,,21
st_asewkt,,25,,,25
st_astwkb,"{geom,prec,prec_z,prec_m,with_sizes,with_boxes}",17,,,17
st_astwkb,"{geom,ids,prec,prec_z,prec_m,with_sizes,with_boxes}",17,,,17
st_asewkb,,17,,,17
st_ashexewkb,,25,,,25
st_ashexewkb,,25,,,25
st_asewkb,,17,,,17
st_aslatlontext,"{geom,tmpl}",25,,,25
geomfromewkb,,89860,,,89860
st_geomfromewkb,,89860,,,89860
st_geomfromtwkb,,89860,,,89860
geomfromewkt,,89860,,,89860
st_geomfromewkt,,89860,,,89860
postgis_cache_bbox,,2279,,,2279
st_makepoint,,89860,,,89860
st_makepoint,,89860,,,89860
st_makepoint,,89860,,,89860
st_makepointm,,89860,,,89860
st_3dmakebox,"{geom1,geom2}",89887,,,89887
st_makeline,,89860,,,89860
st_linefrommultipoint,,89860,,,89860
st_makeline,"{geom1,geom2}",89860,,,89860
st_addpoint,"{geom1,geom2}",89860,,,89860
st_addpoint,"{geom1,geom2,""}",89860,,,89860
st_removepoint,,89860,,,89860
st_setpoint,,89860,,,89860
st_makeenvelope,,89860,,,89860
st_makepolygon,,89860,,,89860
st_makepolygon,,89860,,,89860
st_buildarea,,89860,,,89860
st_polygonize,,89860,,,89860
st_clusterintersecting,,89868,,,89868
st_clusterwithin,,89868,,,89868
st_clusterdbscan,"{"",eps,minpoints}",23,,,23
st_linemerge,,89860,,,89860
st_affine,,89860,,,89860
st_affine,,89860,,,89860
st_rotate,,89860,,,89860
st_rotate,,89860,,,89860
st_rotate,,89860,,,89860
st_rotatez,,89860,,,89860
st_rotatex,,89860,,,89860
st_rotatey,,89860,,,89860
st_translate,,89860,,,89860
st_translate,,89860,,,89860
st_scale,,89860,,,89860
st_scale,,89860,,,89860
st_scale,,89860,,,89860
st_transscale,,89860,,,89860
st_dump,,90146,,,90146
st_dumprings,,90146,,,90146
_st_dumppoints,"{the_geom,cur_path}",90146,,,90146
st_dumppoints,,90146,,,90146
st_line_locate_point,"{geom1,geom2}",701,,,701
st_locate_between_measures,,89860,,,89860
st_locate_along_measure,,89860,,,89860
st_addmeasure,,89860,,,89860
populate_geometry_columns,{use_typmod},25,,,25
populate_geometry_columns,"{tbl_oid,use_typmod}",23,,,23
addgeometrycolumn,"{catalog_name,schema_name,table_name,column_name,new_srid_in,new_type,new_dim,use_typmod}",25,,,25
addgeometrycolumn,"{schema_name,table_name,column_name,new_srid,new_type,new_dim,use_typmod}",25,,,25
addgeometrycolumn,"{table_name,column_name,new_srid,new_type,new_dim,use_typmod}",25,,,25
dropgeometrycolumn,"{catalog_name,schema_name,table_name,column_name}",25,,,25
dropgeometrycolumn,"{schema_name,table_name,column_name}",25,,,25
dropgeometrycolumn,"{table_name,column_name}",25,,,25
dropgeometrytable,"{catalog_name,schema_name,table_name}",25,,,25
dropgeometrytable,"{schema_name,table_name}",25,,,25
dropgeometrytable,{table_name},25,,,25
st_closestpointofapproach,,701,,,701
st_distancecpa,,701,,,701
st_cpawithin,,16,,,16
st_isvalidtrajectory,,16,,,16
updategeometrysrid,"{catalogn_name,schema_name,table_name,column_name,new_srid_in}",25,,,25
updategeometrysrid,,25,,,25
updategeometrysrid,,25,,,25
find_srid,,23,,,23
get_proj4_from_srid,,25,,,25
st_setsrid,,89860,,,89860
st_srid,,23,,,23
postgis_transform_geometry,,89860,,,89860
st_transform,,89860,,,89860
st_transform,"{geom,to_proj}",89860,,,89860
st_transform,"{geom,from_proj,to_proj}",89860,,,89860
st_transform,"{geom,from_proj,to_srid}",89860,,,89860
postgis_version,,25,,,25
postgis_liblwgeom_version,,25,,,25
postgis_proj_version,,25,,,25
postgis_scripts_installed,,25,,,25
postgis_lib_version,,25,,,25
postgis_scripts_released,,25,,,25
postgis_geos_version,,25,,,25
postgis_svn_version,,25,,,25
postgis_libxml_version,,25,,,25
postgis_scripts_build_date,,25,,,25
postgis_lib_build_date,,25,,,25
st_intersection,"{geom1,geom2}",89860,,,89860
st_buffer,,89860,,,89860
postgis_full_version,,25,,,25
box2d,,89891,,,89891
box3d,,89887,,,89887
box,,603,,,603
box2d,,89891,,,89891
box3d,,89887,,,89887
box,,603,,,603
text,,25,,,25
box3dtobox,,603,,,603
geometry,,89860,,,89860
geometry,,89860,,,89860
geometry,,89860,,,89860
geometry,,89860,,,89860
bytea,,17,,,17
st_simplify,,89860,,,89860
st_simplify,,89860,,,89860
st_simplifyvw,,89860,,,89860
st_seteffectivearea,,89860,,,89860
st_snaptogrid,,89860,,,89860
st_snaptogrid,,89860,,,89860
st_snaptogrid,,89860,,,89860
st_snaptogrid,"{geom1,geom2,"","","",""}",89860,,,89860
st_segmentize,,89860,,,89860
st_lineinterpolatepoint,,89860,,,89860
